solver,Qin,iterations,time,residual_norm
bcg,6.728643216,22,0.0050239,6.75E-15
bicgstab,6.728643216,27,0.0007841,1.77E-14
direct,6.824120603,0,0.0001036,3.30E-15
gmres,6.824120603,100,0.0635948,9.34E-14
bcg,6.824120603,22,0.0044119,1.61E-14
bicgstab,6.824120603,27,0.0007181,2.24E-14
direct,6.91959799,0,6.68E-05,2.18E-15
gmres,6.91959799,100,0.0558564,6.26E-14
bcg,6.91959799,22,0.0043461,1.78E-14
bicgstab,6.91959799,27,0.0013368,7.95E-15
direct,7.015075377,0,0.0001282,4.57E-15
gmres,7.015075377,100,0.0608042,1.49E-13
bcg,7.015075377,22,0.0049321,2.84E-14
bicgstab,7.015075377,27,0.0007502,1.59E-14
direct,7.110552764,0,7.45E-05,6.63E-15
gmres,7.110552764,100,0.0606246,6.25E-14
bcg,7.110552764,22,0.0077027,8.93E-15
bicgstab,7.110552764,27,0.0007527,2.03E-14
direct,7.206030151,0,0.0001429,1.43E-14
gmres,7.206030151,100,0.0823446,7.81E-14
bcg,7.206030151,22,0.00438,1.09E-14
bicgstab,7.206030151,27,0.0007372,7.46E-15
direct,7.301507538,0,9.41E-05,5.09E-15
gmres,7.301507538,100,0.0622804,1.33E-13
bcg,7.301507538,22,0.0043555,1.67E-14
bicgstab,7.301507538,28,0.0007795,2.96E-14
direct,7.396984925,0,0.0001059,5.16E-15
gmres,7.396984925,100,0.080523,6.55E-14
bcg,7.396984925,22,0.004482,1.61E-14
bicgstab,7.396984925,29,0.000802,1.07E-14
direct,7.492462312,0,8.84E-05,5.50E-15
gmres,7.492462312,100,0.0588716,2.02E-13
bcg,7.492462312,22,0.0054205,1.04E-14
bicgstab,7.492462312,27,0.0007253,2.60E-14
direct,7.587939698,0,9.11E-05,6.21E-15
gmres,7.587939698,100,0.05962,1.82E-13
bcg,7.587939698,22,0.0046434,1.27E-14
bicgstab,7.587939698,27,0.00074,2.35E-14
direct,7.683417085,0,6.88E-05,6.25E-15
gmres,7.683417085,100,0.0554899,5.05E-14
bcg,7.683417085,22,0.0041015,1.53E-14
bicgstab,7.683417085,28,0.0013549,1.81E-14
direct,7.778894472,0,8.75E-05,9.50E-15
gmres,7.778894472,100,0.0540135,6.25E-14
bcg,7.778894472,22,0.004099,1.34E-14
bicgstab,7.778894472,29,0.0007655,1.31E-14
direct,7.874371859,0,6.38E-05,6.66E-15
gmres,7.874371859,100,0.0682163,7.80E-14
bcg,7.874371859,22,0.0053089,1.04E-14
bicgstab,7.874371859,27,0.0007106,1.43E-14
direct,7.969849246,0,8.63E-05,6.96E-15
gmres,7.969849246,100,0.0621495,1.70E-13
bcg,7.969849246,22,0.0041439,9.36E-15
bicgstab,7.969849246,28,0.0007525,1.42E-14
direct,8.065326633,0,8.20E-05,3.72E-15
gmres,8.065326633,100,0.0820112,8.37E-14
